Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,symmetric,0.31,0.3274430644307787
75% Corpus,3,symmetric,0.61,0.30921314291761354
75% Corpus,3,symmetric,0.9099999999999999,0.31727116615065065
75% Corpus,3,symmetric,symmetric,0.32362480572676505
75% Corpus,3,asymmetric,0.01,0.38938134264401203
75% Corpus,3,asymmetric,0.31,0.37313090425407713
75% Corpus,3,asymmetric,0.61,0.38248506813271765
75% Corpus,3,asymmetric,0.9099999999999999,0.3649546695065053
75% Corpus,3,asymmetric,symmetric,0.3685917496403037
75% Corpus,4,0.01,0.01,0.3263155982623937
75% Corpus,4,0.01,0.31,0.3434044152206099
75% Corpus,4,0.01,0.61,0.3108877993721212
75% Corpus,4,0.01,0.9099999999999999,0.3146838009866624
75% Corpus,4,0.01,symmetric,0.3373214657148819
75% Corpus,4,0.31,0.01,0.3230669674137146
75% Corpus,4,0.31,0.31,0.3185952361465252
75% Corpus,4,0.31,0.61,0.3477253723660908
75% Corpus,4,0.31,0.9099999999999999,0.3186222974933791
75% Corpus,4,0.31,symmetric,0.3097123126450003
75% Corpus,4,0.61,0.01,0.29199468247394744
75% Corpus,4,0.61,0.31,0.3079773718633656
75% Corpus,4,0.61,0.61,0.30169327669089474
75% Corpus,4,0.61,0.9099999999999999,0.29082930918130545
75% Corpus,4,0.61,symmetric,0.3058262547069195
75% Corpus,4,0.9099999999999999,0.01,0.2839152766454459
75% Corpus,4,0.9099999999999999,0.31,0.29451360617826333
75% Corpus,4,0.9099999999999999,0.61,0.2921213731553921
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.29644317368925516
75% Corpus,4,0.9099999999999999,symmetric,0.29966026273892327
75% Corpus,4,symmetric,0.01,0.31125341602591794
75% Corpus,4,symmetric,0.31,0.3394718695879114
75% Corpus,4,symmetric,0.61,0.31643200634675556
75% Corpus,4,symmetric,0.9099999999999999,0.31727568318250926
75% Corpus,4,symmetric,symmetric,0.3131112479743875
75% Corpus,4,asymmetric,0.01,0.34141900629019845
75% Corpus,4,asymmetric,0.31,0.3196613036170937
75% Corpus,4,asymmetric,0.61,0.31865310843746825
75% Corpus,4,asymmetric,0.9099999999999999,0.3358705551653494
75% Corpus,4,asymmetric,symmetric,0.30802364859461456
75% Corpus,5,0.01,0.01,0.3635165896060518
75% Corpus,5,0.01,0.31,0.3277103686533568
75% Corpus,5,0.01,0.61,0.3726574041137348
75% Corpus,5,0.01,0.9099999999999999,0.4008989308114681
75% Corpus,5,0.01,symmetric,0.3453733083140277
75% Corpus,5,0.31,0.01,0.3502786457354016
75% Corpus,5,0.31,0.31,0.34794008457817627
75% Corpus,5,0.31,0.61,0.3588266428873458
75% Corpus,5,0.31,0.9099999999999999,0.3211312292135306
75% Corpus,5,0.31,symmetric,0.337342366716295
75% Corpus,5,0.61,0.01,0.34477203969118086
75% Corpus,5,0.61,0.31,0.3316014386967829
75% Corpus,5,0.61,0.61,0.3279693877850691
75% Corpus,5,0.61,0.9099999999999999,0.3323651191921808
75% Corpus,5,0.61,symmetric,0.3341335366781355
75% Corpus,5,0.9099999999999999,0.01,0.3164067856586218
75% Corpus,5,0.9099999999999999,0.31,0.3126222459046578
75% Corpus,5,0.9099999999999999,0.61,0.3281980539360104
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.32996634823834514
75% Corpus,5,0.9099999999999999,symmetric,0.3183602790523287
75% Corpus,5,symmetric,0.01,0.35053034018773027
75% Corpus,5,symmetric,0.31,0.36691460506971085
75% Corpus,5,symmetric,0.61,0.34644570987685475
75% Corpus,5,symmetric,0.9099999999999999,0.35195197873601164
75% Corpus,5,symmetric,symmetric,0.324619784845711
75% Corpus,5,asymmetric,0.01,0.3697887337279404
75% Corpus,5,asymmetric,0.31,0.3548446058008667
75% Corpus,5,asymmetric,0.61,0.29180547933412393
75% Corpus,5,asymmetric,0.9099999999999999,0.3308208823131566
75% Corpus,5,asymmetric,symmetric,0.3075916184928701
75% Corpus,6,0.01,0.01,0.33606409142430005
75% Corpus,6,0.01,0.31,0.3128969160331097
75% Corpus,6,0.01,0.61,0.3181028951235371
75% Corpus,6,0.01,0.9099999999999999,0.3092579048097344
75% Corpus,6,0.01,symmetric,0.3248970960998839
75% Corpus,6,0.31,0.01,0.3249065608227841
75% Corpus,6,0.31,0.31,0.3129514476613147
75% Corpus,6,0.31,0.61,0.33129688174172645
75% Corpus,6,0.31,0.9099999999999999,0.33153962939504755
75% Corpus,6,0.31,symmetric,0.34343929640859505
75% Corpus,6,0.61,0.01,0.34209609556094267
75% Corpus,6,0.61,0.31,0.3384242597010568
75% Corpus,6,0.61,0.61,0.3327038457453257
75% Corpus,6,0.61,0.9099999999999999,0.330130002530214
75% Corpus,6,0.61,symmetric,0.3363764057316046
75% Corpus,6,0.9099999999999999,0.01,0.3204890620844599
75% Corpus,6,0.9099999999999999,0.31,0.3115091422663573
75% Corpus,6,0.9099999999999999,0.61,0.32061525717709366
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3357947485738589
75% Corpus,6,0.9099999999999999,symmetric,0.30765862922597925
75% Corpus,6,symmetric,0.01,0.32085713610421235
75% Corpus,6,symmetric,0.31,0.3312934106836586
75% Corpus,6,symmetric,0.61,0.31493616673071917
75% Corpus,6,symmetric,0.9099999999999999,0.31715824489967076
75% Corpus,6,symmetric,symmetric,0.3433361557757873
75% Corpus,6,asymmetric,0.01,0.3438033727634206
75% Corpus,6,asymmetric,0.31,0.31566939002057165
75% Corpus,6,asymmetric,0.61,0.35008365172279804
75% Corpus,6,asymmetric,0.9099999999999999,0.31057422916808225
75% Corpus,6,asymmetric,symmetric,0.3327996120902493
75% Corpus,7,0.01,0.01,0.35106859679510477
75% Corpus,7,0.01,0.31,0.3435744306709765
75% Corpus,7,0.01,0.61,0.37741299632139835
75% Corpus,7,0.01,0.9099999999999999,0.3603097849663782
75% Corpus,7,0.01,symmetric,0.351855176432606
75% Corpus,7,0.31,0.01,0.35497402298957104
75% Corpus,7,0.31,0.31,0.34357917519953307
75% Corpus,7,0.31,0.61,0.3384097419520512
75% Corpus,7,0.31,0.9099999999999999,0.34385563207883624
75% Corpus,7,0.31,symmetric,0.3487584301898505
75% Corpus,7,0.61,0.01,0.3240710222935205
75% Corpus,7,0.61,0.31,0.3276693984990175
75% Corpus,7,0.61,0.61,0.3395704530036414
75% Corpus,7,0.61,0.9099999999999999,0.32514225647882483
75% Corpus,7,0.61,symmetric,0.3337630953897953
75% Corpus,7,0.9099999999999999,0.01,0.31169267028693387
75% Corpus,7,0.9099999999999999,0.31,0.30979703378566165
75% Corpus,7,0.9099999999999999,0.61,0.3294147858517174
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3463534435669305
75% Corpus,7,0.9099999999999999,symmetric,0.29802654953263846
75% Corpus,7,symmetric,0.01,0.32119038477620926
75% Corpus,7,symmetric,0.31,0.3527235641032082
75% Corpus,7,symmetric,0.61,0.3135760494354627
75% Corpus,7,symmetric,0.9099999999999999,0.3429591336212317
75% Corpus,7,symmetric,symmetric,0.34919283351854863
75% Corpus,7,asymmetric,0.01,0.33224570298403006
75% Corpus,7,asymmetric,0.31,0.38459950245512414
75% Corpus,7,asymmetric,0.61,0.3314059009126553
75% Corpus,7,asymmetric,0.9099999999999999,0.3338985060861545
75% Corpus,7,asymmetric,symmetric,0.33190812633207545
75% Corpus,8,0.01,0.01,0.36419815076952833
75% Corpus,8,0.01,0.31,0.3180319676522356
75% Corpus,8,0.01,0.61,0.3314103104642303
75% Corpus,8,0.01,0.9099999999999999,0.3500006570400961
75% Corpus,8,0.01,symmetric,0.35462541405809833
75% Corpus,8,0.31,0.01,0.3511212298097659
75% Corpus,8,0.31,0.31,0.3367415364262599
