Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.61,0.34777138688214887
100% Corpus,9,0.31,0.9099999999999999,0.34009889375578045
100% Corpus,9,0.31,symmetric,0.3709466123002557
100% Corpus,9,0.61,0.01,0.33035845945126613
100% Corpus,9,0.61,0.31,0.3224157596608124
100% Corpus,9,0.61,0.61,0.3130167549632638
100% Corpus,9,0.61,0.9099999999999999,0.32768815206483454
100% Corpus,9,0.61,symmetric,0.3070058354591641
100% Corpus,9,0.9099999999999999,0.01,0.3229680470884167
100% Corpus,9,0.9099999999999999,0.31,0.3251641915820487
100% Corpus,9,0.9099999999999999,0.61,0.31055847569997086
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.31509351418471493
100% Corpus,9,0.9099999999999999,symmetric,0.32398414171745504
100% Corpus,9,symmetric,0.01,0.37119275309851946
100% Corpus,9,symmetric,0.31,0.33307061207606864
100% Corpus,9,symmetric,0.61,0.3394955095404099
100% Corpus,9,symmetric,0.9099999999999999,0.3476009584693392
100% Corpus,9,symmetric,symmetric,0.3678825451081325
100% Corpus,9,asymmetric,0.01,0.3547523272908168
100% Corpus,9,asymmetric,0.31,0.33957704293054713
100% Corpus,9,asymmetric,0.61,0.31724933717258597
100% Corpus,9,asymmetric,0.9099999999999999,0.3474652465654343
100% Corpus,9,asymmetric,symmetric,0.37119362241030424
100% Corpus,10,0.01,0.01,0.365452151820571
100% Corpus,10,0.01,0.31,0.3432918150364396
100% Corpus,10,0.01,0.61,0.30031153825132345
100% Corpus,10,0.01,0.9099999999999999,0.3502746461721459
100% Corpus,10,0.01,symmetric,0.36215941235317606
100% Corpus,10,0.31,0.01,0.3584176606116134
100% Corpus,10,0.31,0.31,0.3445381473998506
100% Corpus,10,0.31,0.61,0.3412576449593007
100% Corpus,10,0.31,0.9099999999999999,0.34461910117695016
100% Corpus,10,0.31,symmetric,0.37314551976507854
100% Corpus,10,0.61,0.01,0.3576972952083958
100% Corpus,10,0.61,0.31,0.34492730672524474
100% Corpus,10,0.61,0.61,0.31185972867631795
100% Corpus,10,0.61,0.9099999999999999,0.331445445817511
100% Corpus,10,0.61,symmetric,0.30942530581239996
100% Corpus,10,0.9099999999999999,0.01,0.33412746717715613
100% Corpus,10,0.9099999999999999,0.31,0.3296293541997322
100% Corpus,10,0.9099999999999999,0.61,0.3130148853759374
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.32242464509921054
100% Corpus,10,0.9099999999999999,symmetric,0.3202935928668623
100% Corpus,10,symmetric,0.01,0.36952950902397597
100% Corpus,10,symmetric,0.31,0.34821579818368875
100% Corpus,10,symmetric,0.61,0.34454312545169774
100% Corpus,10,symmetric,0.9099999999999999,0.30306286401073157
100% Corpus,10,symmetric,symmetric,0.36661753071894787
100% Corpus,10,asymmetric,0.01,0.3594255490313611
100% Corpus,10,asymmetric,0.31,0.33607445120471924
100% Corpus,10,asymmetric,0.61,0.32143672901069803
100% Corpus,10,asymmetric,0.9099999999999999,0.3134685366046624
100% Corpus,10,asymmetric,symmetric,0.3497321516126636
